,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
33,34,F0GAD17CP001,Давление рабочей воды на эжектора,,"4-20мА, линейный",0,6,кгс/см²,,
34,35,F0GAD17CT001,Температура парогазовой смеси на входе в эжектора,,"4-20мА, линейный",0,100,°C,,
35,36,F0GAD01CT101,Температура подшипника №1 К10.5.1,,,,,,,
36,37,F0GAD01CT102,Температура подшипника №2 К10.5.1,,,,,,,
37,38,F0GAD01CE012,Ток электродвигателя К10.5.1,,"4-20мА, линейный",0,200,А,,
38,39,F0GAD02CT101,Температура подшипника №1 К10.5.2,,,,,,,
39,40,F0GAD02CT102,Температура подшипника №2 К10.5.2,,,,,,,
40,41,F0GAD02CE012,Ток электродвигателя К10.5.2,,"4-20мА, линейный",0,200,А,,
41,42,F0CUB02CE015,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
42,43,F0GDH11CT002,Температура выпара вакуумного деаэратора,,"4-20мА, линейный",0,100,°C,,
43,44,F0GDH11CP002,Давление в линии выпара вакуумного деаэратора,,"4-20мА, линейный",0,-0.9,кгс/см²,,
44,45,,Температура деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,,F0GDH11CT001,,,,,
45,46,,Давление деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,,F0GDH11CP001,,,,,
46,47,,Уровень в баке-аккумуляторе вакуумного деаэратора,,F0GDH11CL001,,,,резерв,
47,48,,Уровень в баке-аккумуляторе вакуумного деаэратора,,F0GDH11CL002,,,,,
48,49,F0NDK11CP001,Давление на всасе насоса подпитки теплосети К6.1,,"4-20мА, линейный",-1,1,кгс/см²,,
49,50,F0NDK11CP002,Давление на напоре насоса подпитки теплосети К6.1,,"4-20мА, линейный",0,6,кгс/см²,,
50,51,F0NDK12CP001,Давление на всасе насоса подпитки теплосети К6.2,,"4-20мА, линейный",-1,1,кгс/см²,,
51,52,F0NDK12CP002,Давление на напоре насоса подпитки теплосети К6.2,,"4-20мА, линейный",0,6,кгс/см²,,
52,53,F0NDK13CP001,Давление на всасе насоса подпитки теплосети К6.3,,"4-20мА, линейный",-1,1,кгс/см²,,
53,54,F0NDK13CP002,Давление на напоре насоса подпитки теплосети К6.3,,"4-20мА, линейный",0,6,кгс/см²,,
54,55,F0NDK20CF001,Расход подпитки теплосети от деаэратора,,"4-20мА, линейный",0,400,т/ч,,
55,56,F0NDK20CP001,Давление подпитки теплосети от деаэратора,,"4-20мА, линейный",0,6,кгс/см²,,
56,57,F0NDK20CT001,Температура подпитки теплосети от деаэратора,,"4-20мА, линейный",0,100,°C,,
57,58,F0GAD18CF001,Расход сырой воды к ХВО,,"4-20мА, линейный",0,400,т/ч,,
58,59,F0GHJ01CQ001,pH сырой воды после ХВО,,"4-20мА, линейный",,,,,
59,60,,Положение ИМ регулятора расхода сырой воды на охладитель выпара РД-2,,F0GHJ10CG801,,,,"АР,ДУ",
60,61,,Температура хим.очищенной воды перед ПХОВ-1,,F0GHJ11CT001,,,,,
61,62,,Давление хим.очищенной воды перед ПХОВ- 1,,F0GHJ11CP001,,,,,
62,63,,Температура хим.очищенной воды после ПХОВ-1,,F0GHJ11CT002,,,,,
63,64,,Давление хим.очищенной воды после ПХОВ- 1,,F0GHJ11CP002,,,,,
64,65,,Температура хим.очищенной воды перед ПХОВ-2,,F0GHJ12CT001,,,,,
65,66,,Давление хим.очищенной воды перед ПХОВ- 2,,F0GHJ12CP001,,,,,
66,67,,Температура хим.очищенной воды после ПХОВ-2,,F0GHJ12CT002,,,,,
67,68,,Давление хим.очищенной воды после ПХОВ- 2,,F0GHJ12CP002,,,,,
68,69,F0GHJ20CF001,Расход хим.очищенной воды к ваккумному деаэратору подпитки т/с,,"4-20мА, линейный",0,400,т/ч,,
69,70,F0GHJ20CT002,Температура хим.очищенной воды к ваккумному деаэратору подпитки т/с,,"4-20мА, линейный",0,200,°C,,
70,71,,Температура греющей воды на ПХОВ-1,,F0GHJ11CT003,,,,,
71,72,,Давление греющей воды на ПХОВ-1,,F0GHJ11CP003,,,,,
72,73,,Температура греющей воды после ПХОВ-1,,F0GHJ11CT004,,,,,
73,74,,Давление греющей воды после ПХОВ-1,,F0GHJ11CP004,,,,,
74,75,,Температура греющей воды на ПХОВ-2,,F0GHJ12CT003,,,,,
75,76,,Давление греющей воды на ПХОВ-2,,F0GHJ12CP003,,,,,
76,77,,Температура греющей воды после ПХОВ-2,,F0GHJ12CT004,,,,,
77,78,,Давление греющей воды после ПХОВ-2,,F0GHJ12CP004,,,,,
78,79,,Положение ИМ регулятора температуры ХОВ на вакуумный деаэратор РТ-59,,F0GHJ20CG802,,,,"АР,ДУ",
79,80,F0NDK11CT101,Температура подшипника №1 К6.1,,,,,,,
80,81,F0NDK11CT102,Температура подшипника №2 К6.1,,,,,,,
81,82,F0NDK11CE012,Ток электродвигателя К6.1,,"4-20мА, линейный",0,280,А,,
82,83,F0NDK12CT101,Температура подшипника №1 К6.2,,,,,,,
83,84,F0NDK12CT102,Температура подшипника №2 К6.2,,,,,,,
84,85,F0NDK12CE012,Ток электродвигателя К6.2,,"4-20мА, линейный",0,280,А,,
85,86,F0NDK13CT101,Температура подшипника №1 К6.3,,,,,,,
86,87,F0NDK13CT102,Температура подшипника №2 К6.3,,,,,,,
87,88,F0NDK13CE012,Ток электродвигателя К6.3,,"4-20мА, линейный",0,280,А,,
88,89,F0CUB03CE015,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
89,90,F0NDG01CP001,Давление на всасе котлового насоса №1,,"4-20мА, линейный",-1,10,кгс/см²,,
90,91,F0NDG01CP002,Давление на напоре котлового насоса №1,,"4-20мА, линейный",0,16,кгс/см²,,
91,92,F0NDG01CT101,Температура подшипника №1,,,,,,,
92,93,F0NDG01CT102,Температура подшипника №2,,,,,,,
93,94,F0NDG01CT103,Температура подшипника №3,,,,,,,
94,95,F0NDG01CT104,Температура подшипника №4,,,,,,,
95,96,F0NDG01CT105,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
96,97,F0NDG01CT106,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
97,98,F0NDG01CT107,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
98,99,F0NDG01CY001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
99,100,F0NDG01CY002,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
100,101,F0NDG01CY003,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
101,102,F0NDG01CY004,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
102,103,F0NDG01CY005,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
103,104,F0NDG01CY006,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
104,105,F0NDG01CY007,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
105,106,F0NDG01CY008,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
106,107,F0NDG01CY009,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
107,108,F0NDG01CY010,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
108,109,F0NDG01CY011,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
109,110,F0NDG01CY012,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
110,111,F0NDG01CE012,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
111,112,F0NDG02CP001,Давление на всасе котлового насоса №2,,"4-20мА, линейный",-1,10,кгс/см²,,
112,113,F0NDG02CP002,Давление на напоре котлового насоса №2,,"4-20мА, линейный",0,16,кгс/см²,,
113,114,F0NDG02CT101,Температура подшипника №1,,,,,,,
114,115,F0NDG02CT102,Температура подшипника №2,,,,,,,
115,116,F0NDG02CT103,Температура подшипника №3,,,,,,,
116,117,F0NDG02CT104,Температура подшипника №4,,,,,,,
117,118,F0NDG02CT105,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
118,119,F0NDG02CT106,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
119,120,F0NDG02CT107,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
120,121,F0NDG02CY001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
121,122,F0NDG02CY002,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
122,123,F0NDG02CY003,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
123,124,F0NDG02CY004,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
124,125,F0NDG02CY005,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
125,126,F0NDG02CY006,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
126,127,F0NDG02CY007,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
127,128,F0NDG02CY008,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
128,129,F0NDG02CY009,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
129,130,F0NDG02CY010,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
130,131,F0NDG02CY011,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
131,132,F0NDG02CY012,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
132,133,F0NDG02CE012,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
133,134,F0NDG03CP001,Давление на всасе котлового насоса №3,,"4-20мА, линейный",-1,10,кгс/см²,,
134,135,F0NDG03CP002,Давление на напоре котлового насоса №3,,"4-20мА, линейный",0,16,кгс/см²,,
135,136,F0NDG03CT101,Температура подшипника №1,,,,,,,
136,137,F0NDG03CT102,Температура подшипника №2,,,,,,,
137,138,F0NDG03CT103,Температура подшипника №3,,,,,,,
138,139,F0NDG03CT104,Температура подшипника №4,,,,,,,
139,140,F0NDG03CT105,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
140,141,F0NDG03CT106,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
141,142,F0NDG03CT107,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
142,143,F0NDG03CY001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
143,144,F0NDG03CY002,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
144,145,F0NDG03CY003,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
145,146,F0NDG03CY004,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
146,147,F0NDG03CY005,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
147,148,F0NDG03CY006,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
148,149,F0NDG03CY007,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
149,150,F0NDG03CY008,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
150,151,F0NDG03CY009,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
151,152,F0NDG03CY010,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
152,153,F0NDG03CY011,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
153,154,F0NDG03CY012,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
154,155,F0NDG03CE012,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
155,156,F0NDG04CP001,Давление на всасе котлового насоса №4,,"4-20мА, линейный",-1,10,кгс/см²,,
156,157,F0NDG04CP002,Давление на напоре котлового насоса №4,,"4-20мА, линейный",0,16,кгс/см²,,
157,158,F0NDG04CT101,Температура подшипника №1,,,,,,,
158,159,F0NDG04CT102,Температура подшипника №2,,,,,,,
159,160,F0NDG04CT103,Температура подшипника №3,,,,,,,
160,161,F0NDG04CT104,Температура подшипника №4,,,,,,,
161,162,F0NDG04CT105,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
162,163,F0NDG04CT106,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
163,164,F0NDG04CT107,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
164,165,F0NDG04CY001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
165,166,F0NDG04CY002,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
166,167,F0NDG04CY003,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
167,168,F0NDG04CY004,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
168,169,F0NDG04CY005,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
169,170,F0NDG04CY006,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
170,171,F0NDG04CY007,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
171,172,F0NDG04CY008,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
172,173,F0NDG04CY009,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
173,174,F0NDG04CY010,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
174,175,F0NDG04CY011,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
175,176,F0NDG04CY012,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
176,177,F0NDG04CE012,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
177,178,F0CUB04CE015,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
178,179,F0NDG23CT001,Температура обратной котловой воды на выходе из системы вентиляции,,"4-20мА, линейный",0,200,°C,,
179,180,F0NDG23CP001,Давление обратной котловой воды на выходе из системы вентиляции,,"4-20мА, линейный",0,6,кгс/см²,,
180,181,,Положение ИМ регулирующего клапана давления обратной котловой воды РД-К,,F0NDG20CG801,,,,"АР,ДУ",
181,182,F0NDG20CP001,Давление обратной котловой воды на входе в котельную,,"4-20мА, линейный",0,6,кгс/см²,,
182,183,,Содержание кислорода в подпиточной воде котлового контура после БВД-10,,F0GBK10CQ003,,,,,
183,184,,Уровень в баке-аккумуляторе запаса котловой воды,,F0GBK10CL001,,,,,
184,185,F0GBK11CP001,Давление на всасе насоса №1 подпитки котлового контура К23.1,,"4-20мА, линейный",-1,0.5,кгс/см²,,
185,186,F0GBK11CP002,Давление на напоре насоса №1 подпитки котлового контура К23.1,,"4-20мА, линейный",0,6.5,кгс/см²,,
186,187,F0GBK12CP001,Давление на всасе насоса №2 подпитки котлового контура К23.2,,"4-20мА, линейный",-1,0.5,кгс/см²,,
187,188,F0GBK12CP002,Давление на напоре насоса №2 подпитки котлового контура К23.2,,"4-20мА, линейный",0,6.5,кгс/см²,,
188,189,F0NDG20CT001,Температура обратной котловой воды на входе в котельную,,"4-20мА, линейный",0,200,°C,,
189,190,F0NDG20CQ003,Содержание кислорода в обратной котловой воде после подпитки,,"4-20мА, линейный",,,,,
190,191,F0NDG10CP001,Давление обратной котловой воды в коллекторе перед котлами,,"4-20мА, линейный",0,25,кгс/см²,,
191,192,,Положение ИМ регулирующего клапана РТ- об1,,F0NDG20CG801,,,,"АР,ДУ",
192,193,,Положение ИМ регулирующего клапана РТ- об2,,F0NDG20CG802,,,,"АР,ДУ",
193,194,F0GBK01CE012,Ток электродвигателя К23.1,,"4-20мА, линейный",0,50,А,,
194,195,F0GBK02CE012,Ток электродвигателя К23.2,,"4-20мА, линейный",0,50,А,,
195,196,F0CUB05CE015,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
196,197,F0NDF10CT001,Тепература прямой котловой воды в общем коллекторе котлов,,"4-20мА, линейный",0,200,°C,,
197,198,F0NDF22CP001,Давление прямой котловой воды на подогреватели ХОВ,,"4-20мА, линейный",0,25,кгс/см²,,
198,199,F0NDF22CT001,Температура прямой котловой воды на подогреватели ХОВ,,"4-20мА, линейный",0,200,°C,,
199,200,F0NDF22CF002,"Расход воды на теплообменники К11, К16",,"4-20мА, линейный",0,400,т/ч,,
200,201,F0NDF22CF001,Расход воды на теплообменник К12,,"4-20мА, линейный",0,400,т/ч,,
201,202,F1NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
202,203,F1NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА1,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
203,204,F1NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
204,205,F1NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
205,206,F1NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
206,207,F1NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
207,208,F2NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
208,209,F2NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА2,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
209,210,F2NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
210,211,F2NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
211,212,F2NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
212,213,F2NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
213,214,F3NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
214,215,F3NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА3,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
215,216,F3NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
216,217,F3NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
217,218,F3NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
218,219,F3NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
219,220,F4NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
220,221,F4NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА4,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
221,222,F4NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
222,223,F4NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
223,224,F4NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
224,225,F4NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
225,226,F5NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
226,227,F5NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА5,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
227,228,F5NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
228,229,F5NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
229,230,F5NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
230,231,F5NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
231,232,F6NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
232,233,F6NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА6,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
233,234,F6NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
234,235,F6NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
235,236,F6NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
236,237,F6NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
237,238,F7NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
238,239,F7NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА7,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
239,240,F7NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
240,241,F7NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
241,242,F7NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
242,243,F7NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
243,244,F8NDG10CT001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
244,245,F8NDG10CG801,Положение ИМ регулирующего клапана перед котлом РК. КА8,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
245,246,F8NDG10CP001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
246,247,F8NDG10CT002,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
247,248,F8NDF10CP001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
248,249,F8NDF10CT001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
249,250,,Давление на всасе НКП-1,,F0LFM11CP001,,,,,
250,251,,Давление на напоре НКП-1,,F0LFM11CP002,,,,,
251,252,,Давление на всасе НКП-2,,F0LFM12CP001,,,,,
252,253,,Давление на напоре НКП-2,,F0LFM12CP002,,,,,
253,254,,Ток электродвигателя НКП-1,,F0LFM01CE012,,,,,
254,255,,Ток электродвигателя НКП-2,,F0LFM02CE012,,,,,
255,256,F0UZK10CT001,Температура наружного воздуха,,"4-20мА, линейный",-50,100,°C,,
256,257,,Давление до теплообменников по сети Т11,,F0NDF15СР001,,,,,
257,258,,Температура до теплообменников по сети Т11,,F0NDF15СТ101,,,,,
