"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
,,,,Температура подшипника №2 К5.2,аналоговый,входящий,R,,,1,,,0,F0GAF02CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К5.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GAF02CE012,-,,0,250,А,,
,,,,"Датчик ""сухого хода"" на напоре НСВ-1 (К5.1)",дискретный,входящий,?,1,,,,,0,F0GAF01CP151XG02,,F0GAF01CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре НСВ-2 (К5.2)",дискретный,входящий,?,1,,,,,0,F0GAF02CP151XG02,,F0GAF02CP151,,,,ФГУ,замыкается при понижении
,,,"Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ

",Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GAF03CG801,-,F0GAF03AA801,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XC51,,,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XC52,,,,,,"АР,ДУ",
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F0GAF03AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GAF03AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GAF03AA801YC02,,,,,,"АР,ДУ",
,АСУ ТП ВК,"ШУ насосами исходной воды НСВ №1,2",,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,F0CUB01CE015,-,,0,50,Гц,,Шкаф ШУН
,,,,"Задание для ЧРП НСВ №1,2",цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB01DP001,,,,,,"АР,ДУ",
,,,,Пуск насоса НСВ,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB01GU001YB01,,F0CUB01GU001,,,,"ТБ,ДУ",
,,,,Стоп насоса НСВ,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB01GU001YB02,,,,,,"ТЗ,ДУ",
,АСУ ТП ВК,Аварийная подпитка сырой водой,,Температура воды аварийной подпитки,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD11CT001,"=24В, 0,5ВА",,0,100,°C,,
,,,,Давление воды аварийной подпитки,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD11CP001,"=24В, 0,5ВА",,0,8,кгс/см²,,
,,,,Расход воды аварийной подпитки,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD11CF001,"=24В, 5ВА",,0,450,т/ч,,
,АСУ ТП ВК,Подогрев сырой воды,,Температура воды после подогревателя исходной воды К11,аналоговый,входящий,Pt500 (Pt100),,,1,,,0,F0GAC01CT101," =24В, 0,5ВА",,0,180,°C,,
,,,,Температура умягченной воды после подогревателя К16,аналоговый,входящий,Pt500 (Pt100),,,1,,,0,F0GBJ01CT101," =24В, 0,5ВА",,0,180,°C,,
,,,,Сигнализация начала/окончания процесса регенирации Фильтр К9.2.1 сработала,дискретный,входящий,=24В,1,,,,,0,F0GBJ01CF151XG02,,F0GBJ01CF151,,,,ПС,
,,,,Сигнализация начала/окончания процесса регенирации Фильтр К9.2.2 сработала,дискретный,входящий,=24В,1,,,,,0,F0GBJ02CF151XG02,,F0GBJ02CF151,,,,ПС,
,,,"Регулятор производительности ХВО РД-3

",Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GAC01CG801,-,F0GAC01AA801,0,100,%,"АР,ДУ",
,,,,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01АА801XC01,,,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01АА801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01АА801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GAC01AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GAC01AA801YC02,,,,,,"АР,ДУ",
,,,"Регулятор температуры сырой воды РТ-4

",Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GAC01CG802,-,F0GAC01AA802,0,100,%,"АР,ДУ",
,,,,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01AA802XC51,,,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01AA802XC52,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAC01AA802XC04,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GAC01AA802YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GAC01AA802YC02,,,,,,"АР,ДУ",
,,,"Регулятор температуры умягченной воды РТ-71

",Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GBJ01CG801,-,F0GBJ01AA801,0,100,%,"АР,ДУ",
,,,,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GBJ01AA801XC51,,,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GBJ01AA801XC52,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GBJ01AA801XC04,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GBJ01AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GBJ01AA801YC02,,,,,,"АР,ДУ",
,АСУ ТП ВК,Эжектора и бак-газоотделитель,,Расход воды на бак-газоотделитель,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD12CF001,-,,0,15,т/ч,,
,,,,Температура воды в баке-газоотделителе,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD13CT001,-,,0,100,°C,,
,,,,Давление на всасе насоса рабочей воды К10.5.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD14CP001,"=24В, 0,5ВА",,-1,1,кгс/см²,,
,,,,Давление на напоре насоса рабочей воды К10.5.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD14CP002,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Давление на всасе насоса рабочей воды К10.5.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD15CP001,"=24В, 0,5ВА",,-1,1,кгс/см²,,
,,,,Давление на напоре насоса рабочей воды К10.5.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD15CP002,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Уровень в баке-газоотделителе,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD13CL001,-,,0,2,м,,
,,,,Давление рабочей воды на эжектора,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD17CP001,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Температура парогазовой смеси на входе в эжектора,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD17CT001,"=24В, 0,5ВА",,0,100,°C,,
,,,,Температура подшипника №1 К10.5.1,аналоговый,входящий,R,,,1,,,0,F0GAD01CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К10.5.1,аналоговый,входящий,R,,,1,,,0,F0GAD01CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К10.5.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD01CE012,-,,0,200,А,,
,,,,Температура подшипника №1 К10.5.2,аналоговый,входящий,R,,,1,,,0,F0GAD02CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К10.5.2,аналоговый,входящий,R,,,1,,,0,F0GAD02CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К10.5.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD02CE012,-,,0,200,А,,
,,,,"Датчик ""сухого хода"" на напоре НРВ-1 (К10.5.1) сработала",дискретный,входящий,?,1,,,,,0,F0GAD14CP151XG02,,F0GAD14CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре НРВ-2 (К10.5.2) сработала",дискретный,входящий,?,1,,,,,0,F0GAD15CP151XG02,,F0GAD15CP151,,,,ФГУ,замыкается при понижении
,,,Регулятор температуры в баке газоотделителе Р-66,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD12AA801XC01,,F0GAD12AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD12AA801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD12AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD12AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD12AA801YC02,,,,,,"АР,ДУ",
,,,Регулятор уровня в баке газоотделителе РТ-68,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD16AA801XC01,,F0GAD16AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD16AA801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD16AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD16AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD16AA801YC02,,,,,,"АР,ДУ",
,,,Регулятор давления рабочей воды на эжектора РД-5,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD17AA801XC01,,F0GAD17AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD17AA801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GAD17AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD17AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GAD17AA801YC02,,,,,,"АР,ДУ",
,АСУ ТП ВК,"ШУ насосами рабочей воды НРВ №1,2",,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,F0CUB02CE015,-,,0,50,Гц,,Шкаф ШУН
,,,,"Задание для ЧРП НРВ №1,2",цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB02DP001,,,,,,"АР,ДУ",
,,,,Пуск насоса НРВ,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB02GU001YB01,,F0CUB02GU001,,,,"ТБ,ДУ",
,,,,Стоп насоса НРВ,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB02GU001YB02,,,,,,"ТЗ,ДУ",
,АСУ ТП ВК,Вакуумный деаэратор и подпитка теплосети,,Температура выпара вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CT002,"=24В, 0,5ВА",,0,100,°C,,
,,,,Давление в линии выпара вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CP002,"=24В, 0,5ВА",,0,-0.9,кгс/см²,,
,,,,Температура деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CT001,-,,0,100,°C,,
,,,,Давление деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CP001,-,,0,1,кгс/см²,,
,,,,Уровень в баке-аккумуляторе вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CL001,-,,0,2.7,м,,резерв
,,,,Уровень в баке-аккумуляторе вакуумного деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0GDH11CL002,-,,0,2.7,м,,
,,,,Давление на всасе насоса подпитки теплосети К6.1,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK11CP001,"=24В, 0,5ВА",,-1,1,кгс/см²,,
,,,,Давление на напоре насоса подпитки теплосети К6.1,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK11CP002,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Давление на всасе насоса подпитки теплосети К6.2,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK12CP001,"=24В, 0,5ВА",,-1,1,кгс/см²,,
,,,,Давление на напоре насоса подпитки теплосети К6.2,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK12CP002,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Давление на всасе насоса подпитки теплосети К6.3,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK13CP001,"=24В, 0,5ВА",,-1,1,кгс/см²,,
,,,,Давление на напоре насоса подпитки теплосети К6.3,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK13CP002,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Расход подпитки теплосети от деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK20CF001,"=24В, 5ВА",,0,400,т/ч,,
,,,,Давление подпитки теплосети от деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK20CP001,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Температура подпитки теплосети от деаэратора,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK20CT001,"=24В, 0,5ВА",,0,100,°C,,
,,,,Расход сырой воды к ХВО,аналоговый,входящий,4-20мА,,,1,,,0,F0GAD18CF001,"=24В, 5ВА",,0,400,т/ч,,
,,,,Температура хим.очищенной воды перед ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CT001,-,,0,200,°C,,
,,,,Давление хим.очищенной воды перед ПХОВ 1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CP001,-,,0,6,кгс/см²,,
,,,,Температура хим.очищенной воды после ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CT002,-,,0,200,°C,,
,,,,Давление хим.очищенной воды после ПХОВ 1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CP002,-,,0,6,кгс/см²,,
,,,,Температура хим.очищенной воды перед ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CT001,-,,0,200,°C,,
,,,,Давление хим.очищенной воды перед ПХОВ 2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CP001,-,,0,6,кгс/см²,,
,,,,Температура хим.очищенной воды после ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CT002,-,,0,200,°C,,
,,,,Давление хим.очищенной воды после ПХОВ 2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CP002,-,,0,6,кгс/см²,,
,,,,Расход хим.очищенной воды к ваккумному деаэратору подпитки т/с,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ20CF001,"=24В, 5ВА",,0,400,т/ч,,
,,,,Температура хим.очищенной воды к ваккумному деаэратору подпитки т/с,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ20CT002,"=24В, 0,5ВА",,0,200,°C,,
,,,,Температура греющей воды на ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CT003,-,,0,200,°C,,
,,,,Давление греющей воды на ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CP003,-,,0,10,кгс/см²,,
,,,,Температура греющей воды после ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CT004,-,,0,200,°C,,
,,,,Давление греющей воды после ПХОВ-1,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ11CP004,-,,0,9,кгс/см²,,
,,,,Температура греющей воды на ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CT003,-,,0,200,°C,,
,,,,Давление греющей воды на ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CP003,-,,0,10,кгс/см²,,
,,,,Температура греющей воды после ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CT004,-,,0,200,°C,,
,,,,Давление греющей воды после ПХОВ-2,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ12CP004,-,,0,9,кгс/см²,,
,,,,Температура подшипника №1 К6.1,аналоговый,входящий,R,,,1,,,0,F0NDK11CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К6.1,аналоговый,входящий,R,,,1,,,0,F0NDK11CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К6.1,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK11CE012,-,,0,280,А,,
,,,,Температура подшипника №1 К6.2,аналоговый,входящий,R,,,1,,,0,F0NDK12CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К6.2,аналоговый,входящий,R,,,1,,,0,F0NDK12CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К6.2,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK12CE012,-,,0,280,А,,
,,,,Температура подшипника №1 К6.3,аналоговый,входящий,R,,,1,,,0,F0NDK13CT101,-,,0,150,°C,,
,,,,Температура подшипника №2 К6.3,аналоговый,входящий,R,,,1,,,0,F0NDK13CT102,-,,0,150,°C,,
,,,,Ток электродвигателя К6.3,аналоговый,входящий,4-20мА,,,1,,,0,F0NDK13CE012,-,,0,280,А,,
,,,,"Датчик ""сухого хода"" на напоре ППН 1 (К6.1)",дискретный,входящий,?,1,,,,,0,F0NDK11CP151XG02,,F0NDK11CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре ППН 2 (К6.2)",дискретный,входящий,?,1,,,,,0,F0NDK12CP151XG02,,F0NDK12CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре ППН 3 (К6.3)",дискретный,входящий,?,1,,,,,0,F0NDK13CP151XG02,,F0NDK13CP151,,,,ФГУ,замыкается при понижении
,,,,Датчик реле протока через охладитель выпара,дискретный,входящий,=24В,1,,,,,0,F0GHJ10CF151XG02,,F0GHJ10CF151,,,,АР,замыкается при понижении
,,,pH сырой воды после ХВО,Содержание pH,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ01CQ001," =24В, 5ВА",F0GHJ01CQ001,7.3,9,,,
,,,,Содержание рН меньше уставки,дискретный,входящий,=24В,1,,,,,0,F0GHJ01CQ001XG01,,,,,,ПС,
,,,,Содержание рН больше уставки,дискретный,входящий,=24В,1,,,,,0,F0GHJ01CQ001XG02,,,,,,ПС,
,,,Задвижка на линии аварийного слива РК.КА9,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XB51,,F0GDH11AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GDH11AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GDH11AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GDH11AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GDH11AA001YB03,,,,,,ДУ,н.з.контакт
,,,Регулятор расхода сырой воды на охладитель выпара РД-2,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ10CG801,-,F0GHJ10AA801,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XC51,,,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XC52,,,,,,"АР,ДУ",
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F0GHJ10AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GHJ10AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GHJ10AA801YC02,,,,,,"АР,ДУ",
,,,Регулятор уровня в вакуумном деаэраторе РТ-63,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GHJ20AA801XC01,,F0GHJ20AA801,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GHJ20AA801XC02,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0GHJ20AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GHJ20AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0GHJ20AA801YC02,,,,,,"АР,ДУ",
,,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0GHJ20CG802,,F0GHJ20AA802,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XC51,,,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XC52,,,,,,"АР,ДУ",
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F0GHJ20AA802XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0GHJ20AA802YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0GHJ20AA802YC02,,,,,,"АР,ДУ",
,АСУ ТП ВК,ШУ насосами подпитки теплосети ППН-1…3,,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,F0CUB03CE015,-,,0,50,Гц,,Шкаф ШУН
,,,,Задание для ЧРП ППН-1…3,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB03DP001,,,,,,"АР,ДУ",
,,,,Пуск насоса ППН,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB03GU001YB01,,F0CUB03GU001,,,,"ТБ,ДУ",
,,,,Стоп насоса ППН,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB03GU001YB02,,,,,,"ТЗ,ДУ",
,АСУ ТП ВК,Коллекторы котловых насосов,Затвор дисковый К-27 на входе насосной группы №1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XB51,,F0NDG11AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA001XM01,,,,,,ПС,
