,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
95,96,F2NDF10AA001,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
96,97,F2NDF10AA001,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
97,98,F3NDG10AA001,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
98,99,F3NDG10AA001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
99,100,F3NDG10AA001,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
100,101,F3NDG10AA801,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
101,102,F3NDG10AA801,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
102,103,F3NDF10AA001,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
103,104,F3NDF10AA001,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
104,105,F3NDF10AA001,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
105,106,F4NDG10AA001,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
106,107,F4NDG10AA001,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
107,108,F4NDG10AA001,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
108,109,F4NDG10AA801,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
109,110,F4NDG10AA801,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
110,111,F4NDF10AA001,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
111,112,F4NDF10AA001,Давление на всасе котлового насоса №2,,"4-20мА, линейный",-1,10,кгс/см²,,
112,113,F4NDF10AA001,Давление на напоре котлового насоса №2,,"4-20мА, линейный",0,16,кгс/см²,,
113,114,F5NDG10AA001,Температура подшипника №1,,,,,,,
114,115,F5NDG10AA001,Температура подшипника №2,,,,,,,
115,116,F5NDG10AA001,Температура подшипника №3,,,,,,,
116,117,F5NDG10AA801,Температура подшипника №4,,,,,,,
117,118,F5NDG10AA801,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
118,119,F5NDF10AA001,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
119,120,F5NDF10AA001,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
120,121,F5NDF10AA001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
121,122,F6NDG10AA001,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
122,123,F6NDG10AA001,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
123,124,F6NDG10AA001,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
124,125,F6NDG10AA801,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
125,126,F6NDG10AA801,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
126,127,F6NDF10AA001,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
127,128,F6NDF10AA001,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
128,129,F6NDF10AA001,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
129,130,F7NDG10AA001,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
130,131,F7NDG10AA001,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
131,132,F7NDG10AA001,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
132,133,F7NDG10AA801,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
133,134,F7NDG10AA801,Давление на всасе котлового насоса №3,,"4-20мА, линейный",-1,10,кгс/см²,,
134,135,F7NDF10AA001,Давление на напоре котлового насоса №3,,"4-20мА, линейный",0,16,кгс/см²,,
135,136,F7NDF10AA001,Температура подшипника №1,,,,,,,
136,137,F7NDF10AA001,Температура подшипника №2,,,,,,,
137,138,F8NDG10AA001,Температура подшипника №3,,,,,,,
138,139,F8NDG10AA001,Температура подшипника №4,,,,,,,
139,140,F8NDG10AA001,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
140,141,F8NDG10AA801,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
141,142,F8NDG10AA801,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
142,143,F8NDF10AA001,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
143,144,F8NDF10AA001,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
144,145,F8NDF10AA001,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
145,146,F0NDG24AA801,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
146,147,F0NDG24AA801,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
147,148,F0GCN01AA001,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
148,149,F0GCN01AA001,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
149,150,F0GCN01AA001,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
150,151,F0NDF24AA801,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
151,152,F0NDF24AA801,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
152,153,F0NDF24AA802,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
153,154,F0NDF24AA802,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
154,155,F0NDF24AA803,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
155,156,F0NDF24AA803,Давление на всасе котлового насоса №4,,"4-20мА, линейный",-1,10,кгс/см²,,
156,157,F0NDG24AA001,Давление на напоре котлового насоса №4,,"4-20мА, линейный",0,16,кгс/см²,,
157,158,F0SAH21AA001,Температура подшипника №1,,,,,,,
158,159,F0NDG04CP151,Температура подшипника №2,,,,,,,
159,160,F0GBK11CP151,Температура подшипника №3,,,,,,,
160,161,F0GBK12CP151,Температура подшипника №4,,,,,,,
161,162,F0NDG10AA002,Температура обмоток электродвигателя фаза U,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
162,163,F0NDG10AA002,Температура обмоток электродвигателя фаза V,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
163,164,F0NDG10AA002,Температура обмоток электродвигателя фаза W,,,,,,,Требует уточнения при поставке оборудования (класс изоляции)
164,165,F0NDG10AA002,"Вибрация подшипника №1, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
165,166,F0NDG10AA002,"Вибрация подшипника №1, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
166,167,F0NDG10AA002,"Вибрация подшипника №1, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
167,168,F0NDG10AA002,"Вибрация подшипника №2, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
168,169,F0NDG10AA002,"Вибрация подшипника №2, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
169,170,F0GBK10CQ003,"Вибрация подшипника №2, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
170,171,F0GBK10CQ003,"Вибрация подшипника №3, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
171,172,F0NDG20CQ003,"Вибрация подшипника №3, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
172,173,F0NDG20CQ003,"Вибрация подшипника №3, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
173,174,F0NDG20AA801,"Вибрация подшипника №4, вертикальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
174,175,F0NDG20AA801,"Вибрация подшипника №4, горизонтальная составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
175,176,F0NDG20AA801,"Вибрация подшипника №4, осевая составляющая",,"4-20мА, линейный",0,11.9,мм/с,,Максимальный уровень останова.
176,177,F0NDG20AA801,Ток электродвигателя,,"4-20мА, линейный",0,800,А,,
177,178,F0NDG20AA801,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
178,179,F0NDG20AA801,Температура обратной котловой воды на выходе из системы вентиляции,,"4-20мА, линейный",0,200,°C,,
179,180,F0NDG20AA802,Давление обратной котловой воды на выходе из системы вентиляции,,"4-20мА, линейный",0,6,кгс/см²,,
180,181,F0NDG20CG801,Положение ИМ регулирующего клапана давления обратной котловой воды РД-К,,,,,,"АР,ДУ",
181,182,F0NDG20AA802,Давление обратной котловой воды на входе в котельную,,"4-20мА, линейный",0,6,кгс/см²,,
182,183,F0GBK10CQ003,Содержание кислорода в подпиточной воде котлового контура после БВД-10,,,,,,,
183,184,F0GBK10CL001,Уровень в баке-аккумуляторе запаса котловой воды,,,,,,,
184,185,F0NDG20AA802,Давление на всасе насоса №1 подпитки котлового контура К23.1,,"4-20мА, линейный",-1,0.5,кгс/см²,,
185,186,F0NDG20AA803,Давление на напоре насоса №1 подпитки котлового контура К23.1,,"4-20мА, линейный",0,6.5,кгс/см²,,
186,187,F0NDG20AA803,Давление на всасе насоса №2 подпитки котлового контура К23.2,,"4-20мА, линейный",-1,0.5,кгс/см²,,
187,188,F0NDG20AA803,Давление на напоре насоса №2 подпитки котлового контура К23.2,,"4-20мА, линейный",0,6.5,кгс/см²,,
188,189,F0NDF10AA002,Температура обратной котловой воды на входе в котельную,,"4-20мА, линейный",0,200,°C,,
189,190,F0NDF10AA002,Содержание кислорода в обратной котловой воде после подпитки,,"4-20мА, линейный",,,,,
190,191,F0NDF10AA002,Давление обратной котловой воды в коллекторе перед котлами,,"4-20мА, линейный",0,25,кгс/см²,,
191,192,F0NDG20CG801,Положение ИМ регулирующего клапана РТ- об1,,,,,,"АР,ДУ",
192,193,F0NDG20CG802,Положение ИМ регулирующего клапана РТ- об2,,,,,,"АР,ДУ",
193,194,F0NDF10AA002,Ток электродвигателя К23.1,,"4-20мА, линейный",0,50,А,,
194,195,F0NDF10AA002,Ток электродвигателя К23.2,,"4-20мА, линейный",0,50,А,,
195,196,F0NDF10AA002,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
196,197,F1NDG10AA001,Тепература прямой котловой воды в общем коллекторе котлов,,"4-20мА, линейный",0,200,°C,,
197,198,F1NDG10AA001,Давление прямой котловой воды на подогреватели ХОВ,,"4-20мА, линейный",0,25,кгс/см²,,
198,199,F1NDG10AA001,Температура прямой котловой воды на подогреватели ХОВ,,"4-20мА, линейный",0,200,°C,,
199,200,F1NDG10AA001,"Расход воды на теплообменники К11, К16",,"4-20мА, линейный",0,400,т/ч,,
200,201,F1NDG10AA001,Расход воды на теплообменник К12,,"4-20мА, линейный",0,400,т/ч,,
201,202,F1NDG10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
202,203,F1NDG10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА1,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
203,204,F1NDG10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
204,205,F1NDG10AA801,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
205,206,F1NDG10AA801,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
206,207,F1NDG10AA801,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
207,208,F1NDG10AA801,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
208,209,F1NDG10AA801,Положение ИМ регулирующего клапана перед котлом РК. КА2,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
209,210,F1NDG10AA801,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
210,211,F1NDF10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
211,212,F1NDF10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
212,213,F1NDF10AA001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
213,214,F1NDF10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
214,215,F1NDF10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА3,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
215,216,F1NDF10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
216,217,F1NDF10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
217,218,F1NDF10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
218,219,F2NDG10AA001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
219,220,F2NDG10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
220,221,F2NDG10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА4,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
221,222,F2NDG10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
222,223,F2NDG10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
223,224,F2NDG10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
224,225,F2NDG10AA001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
225,226,F2NDG10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
226,227,F2NDG10AA801,Положение ИМ регулирующего клапана перед котлом РК. КА5,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
227,228,F2NDG10AA801,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
228,229,F2NDG10AA801,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
229,230,F2NDG10AA801,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
230,231,F2NDG10AA801,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
231,232,F2NDG10AA801,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
232,233,F2NDF10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА6,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
233,234,F2NDF10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
234,235,F2NDF10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
235,236,F2NDF10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
236,237,F2NDF10AA001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
237,238,F2NDF10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
238,239,F2NDF10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА7,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
239,240,F2NDF10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
240,241,F3NDG10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
241,242,F3NDG10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
242,243,F3NDG10AA001,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
243,244,F3NDG10AA001,Температура воды после задвижки,,"4-20мА, линейный",0,200,°C,,
244,245,F3NDG10AA001,Положение ИМ регулирующего клапана перед котлом РК. КА8,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
245,246,F3NDG10AA001,Давление воды перед котлом,,"4-20мА, линейный",0,25,кгс/см²,,
246,247,F3NDG10AA001,Температура воды перед котлом,,"4-20мА, линейный",0,200,°C,,
247,248,F3NDG10AA001,Давление воды после котла,,"4-20мА, линейный",0,25,кгс/см²,,
248,249,F3NDG10AA801,Температура воды после котла,,"4-20мА, линейный",0,200,°C,,
249,250,F0LFM11CP001,Давление на всасе НКП-1,,,,,,,
250,251,F0LFM11CP002,Давление на напоре НКП-1,,,,,,,
251,252,F0LFM12CP001,Давление на всасе НКП-2,,,,,,,
252,253,F0LFM12CP002,Давление на напоре НКП-2,,,,,,,
253,254,F0LFM01CE012,Ток электродвигателя НКП-1,,,,,,,
254,255,F0LFM02CE012,Ток электродвигателя НКП-2,,,,,,,
255,256,F3NDF10AA001,Температура наружного воздуха,,"4-20мА, линейный",-50,100,°C,,
256,257,F0NDF15СР001,Давление до теплообменников по сети Т11,,,,,,,
257,258,F0NDF15СТ101,Температура до теплообменников по сети Т11,,,,,,,
