,№ п/п,Наименование параметра,Параметры питания датчика,KKS-код параметра,Тип датчика,"Вид сигнала, градуировка, протокол",min,max,Ед. изм.,Примечание,Страница
19,20,Давление воды аварийной подпитки,"=24В, 0,5ВА",F0GAD11CP001,АИР-20/М2-H,"4-20мА, линейный",0,8,кгс/см²,,5
20,21,Расход воды аварийной подпитки,"=24В, 5ВА",F0GAD11CF001,ВЗЛЕТ ЭР,"4-20мА, линейный",0,450,т/ч,,5
21,22,Положение ИМ регулятора производительности ХВО РД 3,-,F0GAC01CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",5
22,23,Положение ИМ регулятора температуры сырой воды РТ 4,-,F0GAC01CG802,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",5
23,24,Температура воды после подогревателя исходной воды К11,"=24В, 0,5ВА",F0GAC01CT101,Взлет ТПС,,0,180,°C,,5
24,25,Положение ИМ регулятора температуры умягченной воды,-,F0GBJ01CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",5
25,26,Температура умягченной воды после подогревателя К16,"=24В, 0,5ВА",F0GBJ01CT101,Взлет ТПС,,0,180,°C,,5
26,27,Расход воды на бак газоотделитель,-,F0GAD12CF001,ВЗЛЕТ ЭР,"4-20мА, линейный",0,15,т/ч,,5
27,28,Температура в баке газоотделителе,-,F0GAD13CT001,ТПУ0304,"4-20мА, линейный",0,100,°C,,5
28,29,Давление на всасе насоса рабочей воды К10.5.1,"=24В, 0,5ВА",F0GAD14CP001,АИР-20/М2-H,"4-20мА, линейный",-1,1,кгс/см²,,5
29,30,Давление на напоре насоса рабочей воды К10.5.1,"=24В, 0,5ВА",F0GAD14CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,6
30,31,Давление на всасе насоса рабочей воды К10.5.2,"=24В, 0,5ВА",F0GAD15CP001,АИР-20/М2-H,"4-20мА, линейный",-1,1,кгс/см²,,6
31,32,Давление на напоре насоса рабочей воды К10.5.2,"=24В, 0,5ВА",F0GAD15CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,6
32,33,"Уровень в баке газоотделителе =24В, 0,3А",-,F0GAD13CL001,УЛМ-31А1,"4-20мА, линейный",0,2,м,,6
33,34,Давление рабочей воды на эжектора,"=24В, 0,5ВА",F0GAD17CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,6
34,35,Температура парогазовой смеси на входе в эжектора,"=24В, 0,5ВА",F0GAD17CT001,ТПУ-205,"4-20мА, линейный",0,100,°C,,6
35,36,Температура подшипника №1 К10.5.1,-,F0GAD01CT101,,,0,150,°C,,6
36,37,Температура подшипника №2 К10.5.1,-,F0GAD01CT102,,,0,150,°C,,6
37,38,Ток электродвигателя К10.5.1,-,F0GAD01CE012,,"4-20мА, линейный",0,200,А,,6
38,39,Температура подшипника №1 К10.5.2,-,F0GAD02CT101,,,0,150,°C,,6
39,40,Температура подшипника №2 К10.5.2,-,F0GAD02CT102,,,0,150,°C,,6
40,41,Ток электродвигателя К10.5.2,-,F0GAD02CE012,,"4-20мА, линейный",0,200,А,,6
41,42,Выходная частота,-,F0CUB02CE015,ЧРП,"RS485, Modbus RTU",0,50,Гц,Шкаф ШУН,6
42,43,Температура выпара вакуумного деаэратора,"=24В, 0,5ВА",F0GDH11CT002,ТПУ-205,"4-20мА, линейный",0,100,°C,,6
43,44,Давление в линии выпара вакуумного деаэратора,"=24В, 0,5ВА",F0GDH11CP002,АИР-20/М2-H,"4-20мА, линейный",0,-0.9,кгс/см²,,6
44,45,Температура деаэрированной воды на выходе из бака аккумулятора вакуумного деаэратора,-,F0GDH11CT001,ТПУ-205,"4-20мА, линейный",0,100,°C,,7
45,46,Давление деаэрированной воды на выходе из бака аккумулятора вакуумного деаэратора,-,F0GDH11CP001,АИР-20/М2-H,"4-20мА, линейный",0,1,кгс/см²,,7
46,47,"Уровень в баке аккумуляторе вакуумного деаэратора =24В, 0,3А",-,F0GDH11CL001,УЛМ-31А1,"4-20мА, линейный",0,2.7,м,резерв,7
47,48,"Уровень в баке аккумуляторе вакуумного деаэратора =24В, 0,3А",-,F0GDH11CL002,УЛМ-31А1,"4-20мА, линейный",0,2.7,м,,7
48,49,Давление на всасе насоса подпитки теплосети К6.1,"=24В, 0,5ВА",F0NDK11CP001,АИР-20/М2-H,"4-20мА, линейный",-1,1,кгс/см²,,7
49,50,Давление на напоре насоса подпитки теплосети К6.1,"=24В, 0,5ВА",F0NDK11CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,7
50,51,Давление на всасе насоса подпитки теплосети К6.2,"=24В, 0,5ВА",F0NDK12CP001,АИР-20/М2-H,"4-20мА, линейный",-1,1,кгс/см²,,7
51,52,Давление на напоре насоса подпитки теплосети К6.2,"=24В, 0,5ВА",F0NDK12CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,7
52,53,Давление на всасе насоса подпитки теплосети К6.3,"=24В, 0,5ВА",F0NDK13CP001,АИР-20/М2-H,"4-20мА, линейный",-1,1,кгс/см²,,7
53,54,Давление на напоре насоса подпитки теплосети К6.3,"=24В, 0,5ВА",F0NDK13CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,7
54,55,Расход подпитки теплосети от деаэратора,"=24В, 5ВА",F0NDK20CF001,ВЗЛЕТ ЭР,"4-20мА, линейный",0,400,т/ч,,7
55,56,Давление подпитки теплосети от деаэратора,"=24В, 0,5ВА",F0NDK20CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,7
56,57,Температура подпитки теплосети от деаэратора,"=24В, 0,5ВА",F0NDK20CT001,ТПУ-205,"4-20мА, линейный",0,100,°C,,7
57,58,Расход сырой воды к ХВО,"=24В, 5ВА",F0GAD18CF001,ВЗЛЕТ ЭР,"4-20мА, линейный",0,400,т/ч,,7
58,59,pH сырой воды после ХВО,"=24В, 5ВА",F0GHJ01CQ001,Марк-9010,"4-20мА, линейный",,,,,7
59,60,Положение ИМ регулятора расхода сырой воды на охладитель выпара РД 2,-,F0GHJ10CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",7
60,61,Температура хим.очищенной воды перед ПХОВ 1,-,F0GHJ11CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,7
61,62,Давление хим.очищенной воды перед ПХОВ 1,-,F0GHJ11CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,8
62,63,Температура хим.очищенной воды после ПХОВ 1,-,F0GHJ11CT002,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
63,64,Давление хим.очищенной воды после ПХОВ 1,-,F0GHJ11CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,8
64,65,Температура хим.очищенной воды перед ПХОВ 2,-,F0GHJ12CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
65,66,Давление хим.очищенной воды перед ПХОВ 2,-,F0GHJ12CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,8
66,67,Температура хим.очищенной воды после ПХОВ 2,-,F0GHJ12CT002,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
67,68,Давление хим.очищенной воды после ПХОВ 2,-,F0GHJ12CP002,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,8
68,69,Расход хим.очищенной воды к ваккумному деаэратору подпитки т/с,"=24В, 5ВА",F0GHJ20CF001,ВЗЛЕТ ЭР,"4-20мА, линейный",0,400,т/ч,,8
69,70,Температура хим.очищенной воды к ваккумному деаэратору подпитки т/с,"=24В, 0,5ВА",F0GHJ20CT002,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
70,71,Температура греющей воды на ПХОВ 1,-,F0GHJ11CT003,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
71,72,Давление греющей воды на ПХОВ 1,-,F0GHJ11CP003,АИР-20/М2-H,"4-20мА, линейный",0,10,кгс/см²,,8
72,73,Температура греющей воды после ПХОВ 1,-,F0GHJ11CT004,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
73,74,Давление греющей воды после ПХОВ 1,-,F0GHJ11CP004,АИР-20/М2-H,"4-20мА, линейный",0,9,кгс/см²,,8
74,75,Температура греющей воды на ПХОВ 2,-,F0GHJ12CT003,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
75,76,Давление греющей воды на ПХОВ 2,-,F0GHJ12CP003,АИР-20/М2-H,"4-20мА, линейный",0,10,кгс/см²,,8
76,77,Температура греющей воды после ПХОВ 2,-,F0GHJ12CT004,ТПУ-205,"4-20мА, линейный",0,200,°C,,8
77,78,Давление греющей воды после ПХОВ 2,-,F0GHJ12CP004,АИР-20/М2-H,"4-20мА, линейный",0,9,кгс/см²,,8
78,79,Положение ИМ регулятора температуры ХОВ на вакуумный деаэратор РТ 59,-,F0GHJ20CG802,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",8
79,80,Температура подшипника №1 К6.1,-,F0NDK11CT101,,,0,150,°C,,9
80,81,Температура подшипника №2 К6.1,-,F0NDK11CT102,,,0,150,°C,,9
81,82,Ток электродвигателя К6.1,-,F0NDK11CE012,,"4-20мА, линейный",0,280,А,,9
82,83,Температура подшипника №1 К6.2,-,F0NDK12CT101,,,0,150,°C,,9
83,84,Температура подшипника №2 К6.2,-,F0NDK12CT102,,,0,150,°C,,9
84,85,Ток электродвигателя К6.2,-,F0NDK12CE012,,"4-20мА, линейный",0,280,А,,9
85,86,Температура подшипника №1 К6.3,-,F0NDK13CT101,,,0,150,°C,,9
86,87,Температура подшипника №2 К6.3,-,F0NDK13CT102,,,0,150,°C,,9
87,88,Ток электродвигателя К6.3,-,F0NDK13CE012,,"4-20мА, линейный",0,280,А,,9
88,89,Выходная частота,-,F0CUB03CE015,ЧРП,"RS485, Modbus RTU",0,50,Гц,Шкаф ШУН,9
89,90,Давление на всасе котлового насоса №1,"=24В, 0,5ВА",F0NDG01CP001,АИР-20/М2-H,"4-20мА, линейный",-1,10,кгс/см²,,9
90,91,Давление на напоре котлового насоса №1,"=24В, 0,5ВА",F0NDG01CP002,АИР-20/М2-H,"4-20мА, линейный",0,16,кгс/см²,,9
91,92,Температура подшипника №1,-,F0NDG01CT101,,,0,150,°C,,9
92,93,Температура подшипника №2,-,F0NDG01CT102,,,0,150,°C,,9
93,94,Температура подшипника №3,-,F0NDG01CT103,,,0,150,°C,,9
94,95,Температура подшипника №4,-,F0NDG01CT104,,,0,150,°C,,9
95,96,Температура обмоток электродвигателя фаза U,-,F0NDG01CT105,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),10
96,97,Температура обмоток электродвигателя фаза V,-,F0NDG01CT106,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),10
97,98,Температура обмоток электродвигателя фаза W,-,F0NDG01CT107,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),10
98,99,"Вибрация подшипника №1, вертикальная составляющая","=24В, 0,5ВА",F0NDG01CY001,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
99,100,"Вибрация подшипника №1, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY002,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
100,101,"Вибрация подшипника №1, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG01CY003,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
101,102,"Вибрация подшипника №2, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY004,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
102,103,"Вибрация подшипника №2, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY005,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
103,104,"Вибрация подшипника №2, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG01CY006,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
104,105,"Вибрация подшипника №3, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY007,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
105,106,"Вибрация подшипника №3, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY008,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
106,107,"Вибрация подшипника №3, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG01CY009,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
107,108,"Вибрация подшипника №4, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY010,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
108,109,"Вибрация подшипника №4, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG01CY011,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,10
109,110,"Вибрация подшипника №4, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG01CY012,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,11
110,111,Ток электродвигателя F0ND,-,F0NDG01CE012,,"4-20мА, линейный",0,800,А,,11
111,112,Давление на всасе котлового насоса №2 F0ND,"=24В, 0,5ВА",F0NDG02CP001,АИР-20/М2-H,"4-20мА, линейный",-1,10,кгс/см²,,11
112,113,Давление на напоре котлового насоса №2 F0ND,"=24В, 0,5ВА",F0NDG02CP002,АИР-20/М2-H,"4-20мА, линейный",0,16,кгс/см²,,11
113,114,Температура подшипника №1 F0ND,-,F0NDG02CT101,,,0,150,°C,,11
114,115,Температура подшипника №2 F0ND,-,F0NDG02CT102,,,0,150,°C,,11
115,116,Температура подшипника №3 F0ND,-,F0NDG02CT103,,,0,150,°C,,11
116,117,Температура подшипника №4 F0ND,-,F0NDG02CT104,,,0,150,°C,,11
117,118,Температура обмоток электродвигателя фаза U F0ND,-,F0NDG02CT105,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),11
118,119,Температура обмоток электродвигателя фаза V F0ND,-,F0NDG02CT106,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),11
119,120,Температура обмоток электродвигателя фаза W F0ND,-,F0NDG02CT107,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),11
120,121,"Вибрация подшипника №1, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY001,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,11
121,122,"Вибрация подшипника №1, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY002,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,11
122,123,"Вибрация подшипника №1, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG02CY003,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
123,124,"Вибрация подшипника №2, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY004,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
124,125,"Вибрация подшипника №2, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY005,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
125,126,"Вибрация подшипника №2, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG02CY006,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
126,127,"Вибрация подшипника №3, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY007,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
127,128,"Вибрация подшипника №3, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY008,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
128,129,"Вибрация подшипника №3, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG02CY009,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
129,130,"Вибрация подшипника №4, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY010,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
130,131,"Вибрация подшипника №4, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG02CY011,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
131,132,"Вибрация подшипника №4, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG02CY012,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,12
132,133,Ток электродвигателя F0ND,-,F0NDG02CE012,,"4-20мА, линейный",0,800,А,,12
133,134,Давление на всасе котлового насоса №3 F0ND,"=24В, 0,5ВА",F0NDG03CP001,АИР-20/М2-H,"4-20мА, линейный",-1,10,кгс/см²,,12
134,135,Давление на напоре котлового насоса №3 F0ND,"=24В, 0,5ВА",F0NDG03CP002,АИР-20/М2-H,"4-20мА, линейный",0,16,кгс/см²,,12
135,136,Температура подшипника №1 F0ND,-,F0NDG03CT101,,,0,150,°C,,12
136,137,Температура подшипника №2 F0ND,-,F0NDG03CT102,,,0,150,°C,,12
137,138,Температура подшипника №3 F0ND,-,F0NDG03CT103,,,0,150,°C,,12
138,139,Температура подшипника №4 F0ND,-,F0NDG03CT104,,,0,150,°C,,12
139,140,Температура обмоток электродвигателя фаза U F0ND,-,F0NDG03CT105,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),13
140,141,Температура обмоток электродвигателя фаза V F0ND,-,F0NDG03CT106,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),13
141,142,Температура обмоток электродвигателя фаза W F0ND,-,F0NDG03CT107,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),13
142,143,"Вибрация подшипника №1, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY001,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
143,144,"Вибрация подшипника №1, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY002,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
144,145,"Вибрация подшипника №1, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG03CY003,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
145,146,"Вибрация подшипника №2, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY004,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
146,147,"Вибрация подшипника №2, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY005,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
147,148,"Вибрация подшипника №2, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG03CY006,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
148,149,"Вибрация подшипника №3, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY007,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
149,150,"Вибрация подшипника №3, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY008,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
150,151,"Вибрация подшипника №3, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG03CY009,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
151,152,"Вибрация подшипника №4, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY010,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
152,153,"Вибрация подшипника №4, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG03CY011,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,13
153,154,"Вибрация подшипника №4, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG03CY012,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,14
154,155,Ток электродвигателя F0ND,-,F0NDG03CE012,,"4-20мА, линейный",0,800,А,,14
155,156,Давление на всасе котлового насоса №4 F0ND,"=24В, 0,5ВА",F0NDG04CP001,АИР-20/М2-H,"4-20мА, линейный",-1,10,кгс/см²,,14
156,157,Давление на напоре котлового насоса №4 F0ND,"=24В, 0,5ВА",F0NDG04CP002,АИР-20/М2-H,"4-20мА, линейный",0,16,кгс/см²,,14
157,158,Температура подшипника №1 F0ND,-,F0NDG04CT101,,,0,150,°C,,14
158,159,Температура подшипника №2 F0ND,-,F0NDG04CT102,,,0,150,°C,,14
159,160,Температура подшипника №3 F0ND,-,F0NDG04CT103,,,0,150,°C,,14
160,161,Температура подшипника №4 F0ND,-,F0NDG04CT104,,,0,150,°C,,14
161,162,Температура обмоток электродвигателя фаза U F0ND,-,F0NDG04CT105,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),14
162,163,Температура обмоток электродвигателя фаза V F0ND,-,F0NDG04CT106,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),14
163,164,Температура обмоток электродвигателя фаза W F0ND,-,F0NDG04CT107,,,0,150,°C,Требует уточнения при поставке оборудования (класс изоляции),14
164,165,"Вибрация подшипника №1, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY001,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,14
165,166,"Вибрация подшипника №1, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY002,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,14
166,167,"Вибрация подшипника №1, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG04CY003,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,14
167,168,"Вибрация подшипника №2, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY004,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
168,169,"Вибрация подшипника №2, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY005,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
169,170,"Вибрация подшипника №2, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG04CY006,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
170,171,"Вибрация подшипника №3, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY007,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
171,172,"Вибрация подшипника №3, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY008,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
172,173,"Вибрация подшипника №3, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG04CY009,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
173,174,"Вибрация подшипника №4, вертикальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY010,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
174,175,"Вибрация подшипника №4, горизонтальная составляющая F0ND","=24В, 0,5ВА",F0NDG04CY011,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
175,176,"Вибрация подшипника №4, осевая составляющая F0ND","=24В, 0,5ВА",F0NDG04CY012,,"4-20мА, линейный",0,11.9,мм/с,Максимальный уровень останова,15
176,177,Ток электродвигателя F0ND,-,F0NDG04CE012,,"4-20мА, линейный",0,800,А,,15
177,178,Выходная частота F0CU,-,F0CUB04CE015,ЧРП,"RS485, Modbus RTU",0,50,Гц,Шкаф ШУН,15
178,179,Температура обратной котловой воды на выходе из системы вентиляции F0ND,"=24В, 0,5ВА",F0NDG23CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,15
179,180,Давление обратной котловой воды на выходе из системы вентиляции F0ND,"=24В, 0,5ВА",F0NDG23CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,15
180,181,Положение ИМ регулирующего клапана давления обратной котловой воды РД К F0ND,-,F0NDG20CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",15
181,182,Давление обратной котловой воды на входе в котельную F0ND,"=24В, 0,5ВА",F0NDG20CP001,АИР-20/М2-H,"4-20мА, линейный",0,6,кгс/см²,,15
182,183,Содержание кислорода в подпиточной воде котлового контура после БВД 10 F0GB,-,F0GBK10CQ003,МАРК-409Т,"4-20мА, линейный",0,50,мкг/л,,15
183,184,"Уровень в баке аккумуляторе запаса котловой воды =24В, 0,3А F0GB",-,F0GBK10CL001,УЛМ-31А1,"4-20мА, линейный",0,2.2,м,,16
184,185,Давление на всасе насоса №1 подпитки котлового контура К23.1 F0GB,"=24В, 0,5ВА",F0GBK11CP001,АИР-20/М2-H,"4-20мА, линейный",-1,0.5,кгс/см²,,16
185,186,Давление на напоре насоса №1 подпитки котлового контура К23.1 F0GB,"=24В, 0,5ВА",F0GBK11CP002,АИР-20/М2-H,"4-20мА, линейный",0,6.5,кгс/см²,,16
186,187,Давление на всасе насоса №2 подпитки котлового контура К23.2 F0GB,"=24В, 0,5ВА",F0GBK12CP001,АИР-20/М2-H,"4-20мА, линейный",-1,0.5,кгс/см²,,16
187,188,Давление на напоре насоса №2 подпитки котлового контура К23.2 F0GB,"=24В, 0,5ВА",F0GBK12CP002,АИР-20/М2-H,"4-20мА, линейный",0,6.5,кгс/см²,,16
